ID_H1,Name,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,KEY,ID_H3,v_r,v_r_e,v_LSR,sig_v,sig_v_e,c,r_c,r_h,mu_V,rho_0,lg_tc,lg_th,#NGC,Name_VDB,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0,ID,Class,Object,AltName,Mstar,rh,C5,Age_KR,FeH_KR
IC 1257,,17:27:08.5,-07:05:35,16.54,15.15,25,17.9,23.2,6.9,6.5,IC1257,IC 1257,-140.2,2.1,-127,,,1.55,0.25,1.4,,,,9.6,,,,,,,,,,,,,,,,,,,,,,
Terzan 2,HP 3,17:27:33.10,-30:48:08.4,356.32,2.3,7.5,0.8,7.5,-0.5,0.3,TERZAN2,Terzan 2,109,15,116.9,,,2.5,0.03,1.52,22.16,4.86,5.46,8.82,,,,,,,,,,,,,,,,,,,,,,
NGC 6366,,17:27:44.24,-05:04:47.5,18.41,16.04,3.5,5,3.2,1.1,1,NGC6366,NGC 6366,-122.2,0.5,-108.6,1.3,0.5,0.74,2.17,2.92,21.25,2.39,8.74,8.73,,,,,,,,,,,,,,,GC,NGC6366,NONE,0.30,5.05,0.058,13.3,-0.73
Terzan 4,HP 4,17:30:39.00,-31:35:43.9,356.02,1.31,7.2,1,7.2,-0.5,0.2,TERZAN4,Terzan 4,-50,2.9,-42.3,,,0.9,0.9,1.85,,,,8.7,,,,,,,,,,,,,,,,,,,,,,
HP 1,BH 229,17:31:05.2,-29:58:54,357.44,2.12,8.2,0.5,8.2,-0.4,0.3,HP1,HP 1,45.8,0.7,54,,,2.5,0.03,3.1,21.29,4.33,5.03,9.44,,,,,,,,,,,,,,,,,,,,,,
NGC 6362,,17:31:54.99,-67:02:54.0,325.55,-17.57,7.6,5.1,6,-4.1,-2.3,NGC6362,NGC 6362,-13.1,0.6,-15.6,2.8,0.4,1.09,1.13,2.05,19.31,2.29,8.8,9.2,,,,,,,,,,,,,,,GC,NGC6362,NONE,0.81,7.70,0.11,13.6,-0.99
Liller 1,,17:33:24.50,-33:23:20.4,354.84,-0.16,8.2,0.8,8.2,-0.7,0,LILLER1,Liller 1,52,15,59.2,,,2.3,0.06,,24,5.28,6.62,0,,,,,,,,,,,,,,,,,,,,,,
NGC 6380,Ton 1,17:34:28.0,-39:04:09,350.18,-3.42,10.9,3.3,10.7,-1.9,-0.6,NGC6380,NGC 6380,-3.6,2.5,2.1,,,1.55,0.34,0.74,19.89,3.73,8.4,8.86,,,,,,,,,,,,,,,,,,,,,,
Terzan 1,HP 2 ,17:35:47.8,-30:28:11,357.57,1,6.7,1.3,6.7,-0.3,0.1,TERZAN1,Terzan 1,114,14,122,,,2.5,0.04,3.82,25.09,3.85,4.99,9.12,,,,,,,,,,,,,,,,,,,,,,
Ton 2,Pismis 26,17:36:10.5,-38:33:12,350.8,-3.42,8.2,1.4,8.1,-1.3,-0.5,TON2,Ton 2,-184.4,2.2,-178.6,,,1.3,0.54,1.3,22.16,2.85,8.23,8.82,,,,,,,,,,,,,,,,,,,,,,
NGC 6388,,17:36:17.23,-44:44:07.8,345.56,-6.74,9.9,3.1,9.6,-2.5,-1.2,NGC6388,NGC 6388,80.1,0.8,84.2,18.9,0.8,1.75,0.12,0.52,14.49,5.37,7.72,8.9,,,,,,,,,,,,,,,GC,NGC6388,NONE,12,2.5,4.8,11.7,-0.45
NGC 6402,M 14,17:37:36.10,-03:14:45.3,21.32,14.81,9.3,4,8.3,3.3,2.4,NGC6402,NGC 6402,-66.1,1.8,-52.1,,,0.99,0.79,1.3,18.41,3.36,9.06,9.39,,,,,,,,,,,,,,,,,,,,,,
NGC 6401,,17:38:36.60,-23:54:34.2,3.45,3.98,10.6,2.7,10.5,0.6,0.7,NGC6401,NGC 6401,-65,8.6,-55.3,,,1.69,0.25,1.91,18.7,3.79,7.97,9.53,,,,,,,,,,,,,,,,,,,,,,
NGC 6397,,17:40:42.09,-53:40:27.6,338.17,-11.96,2.3,6,2.1,-0.8,-0.5,NGC6397,NGC 6397,18.8,0.1,20.3,4.5,0.2,2.5,0.05,2.9,15.47,5.76,4.94,8.6,,,,,,,,,,,,,,,GC,NGC6397,NONE,1.1,3.3,0.33,13.4,-1.99
Pal 6,,17:43:42.2,-26:13:21,2.1,1.78,5.8,2.2,5.8,0.2,0.2,PAL6,Pal 6,181,2.8,190.2,,,1.1,0.66,1.2,21.51,3.46,8.34,8.64,,,,,,,,,,,,,,,,,,,,,,
NGC 6426,,17:44:54.65,+03:10:12.5,28.09,16.23,20.6,14.4,17.4,9.3,5.8,NGC6426,NGC 6426,-162,23,-146.9,,,1.7,0.26,0.92,20.09,2.47,8.31,9.28,,,,,,,,,,,,,,,,,,,,,,
Djorg 1,,17:47:28.3,-33:03:56,356.69,-2.47,13.7,5.7,13.6,-0.8,-0.6,DJORG1,Djorg 1,-362.4,3.6,-355,,,1.5,0.5,1.59,23.1,2.68,8.71,0,,,,,,,,,,,,,,,,,,,,,,
Terzan 5,Terzan 11,17:48:04.80,-24:46:45,3.84,1.69,6.9,1.2,6.9,0.5,0.2,TERZAN5,Terzan 5,-93,2,-83.5,,,1.62,0.16,0.72,21.08,5.14,7.57,8.53,,,,,,,,,,,,,,,,,,,,,,
NGC 6440,,17:48:52.70,-20:21:36.9,7.73,3.8,8.5,1.3,8.4,1.1,0.6,NGC6440,NGC 6440,-76.6,2.7,-65.9,,,1.62,0.14,0.48,17.06,5.24,7.6,8.62,,,,,,,,,,,,,,,,,,,,,,
NGC 6441,,17:50:13.06,-37:03:05.2,353.53,-5.01,11.6,3.9,11.5,-1.3,-1,NGC6441,NGC 6441,16.5,1,22.9,18,0.2,1.74,0.13,0.57,14.85,5.26,7.93,9.09,,,,,,,,,,,,,,,GC,NGC6441,NONE,9.55,3.3,2.92,11.2,-0.44
Terzan 6,HP 5,17:50:46.38,-31:16:31.4,358.57,-2.16,6.8,1.3,6.8,-0.2,-0.3,TERZAN6,Terzan 6,126,15,133.9,,,2.5,0.05,0.44,20.76,5.83,6.46,8.22,,,,,,,,,,,,,,,,,,,,,,
NGC 6453,,17:50:51.70,-34:35:57.0,355.72,-3.87,11.6,3.7,11.5,-0.9,-0.8,NGC6453,NGC 6453,-83.7,8.3,-76.7,,,2.5,0.05,0.44,17.07,4.95,6.73,8.52,,,,,,,,,,,,,,,,,,,,,,
UKS 1,,17:54:27.2,-24:08:43,5.13,0.76,7.8,0.7,7.8,0.7,0.1,UKS1,UKS 1,57,6,66.7,,,2.1,0.15,,25.52,4.41,7.26,0,,,,,,,,,,,,,,,,,,,,,,
NGC 6496,,17:59:03.68,-44:15:57.4,348.03,-10.01,11.3,4.2,10.9,-2.3,-2,NGC6496,NGC 6496,-112.7,5.7,-108.4,,,0.7,0.95,1.02,20.17,1.99,8.94,9.04,,,,,,,,,,,,,,,GC,NGC6496,NONE,2.00,5.70,0.35,12.4,-0.70
Terzan 9,,18:01:38.8,-26:50:23,3.61,-1.99,7.1,1.1,7.1,0.4,-0.2,TERZAN9,Terzan 9,59,10,68.1,,,2.5,0.03,0.78,23.21,4.42,4.99,8,,,,,,,,,,,,,,,,,,,,,,
Djorg 2,ESO456-SC38,18:01:49.1,-27:49:33,2.77,-2.5,6.3,1.8,6.2,0.3,-0.3,DJORG2,Djorg 2,,,,,,1.5,0.33,1.05,19.5,3.85,7.73,0,,,,,,,,,,,,,,,,,,,,,,
NGC 6517,,18:01:50.52,-08:57:31.6,19.23,6.76,10.6,4.2,10,3.5,1.3,NGC6517,NGC 6517,-39.6,8,-26.5,,,1.82,0.06,0.5,17.56,5.29,6.92,8.72,,,,,,,,,,,,,,,,,,,,,,
Terzan 10,,18:03:36.4,-26:04:21,4.49,-1.99,5.8,2.3,5.8,0.5,-0.2,TERZAN10,Terzan 10,,,,,,0.75,0.9,1.55,21.28,4.64,9.34,8.74,,,,,,,,,,,,,,,,,,,,,,
NGC 6522,,18:03:34.02,-30:02:02.3,1.02,-3.93,7.7,0.6,7.7,0.1,-0.5,NGC6522,NGC 6522,-21.1,3.4,-12.9,6.7,0.7,2.5,0.05,1,15.75,5.48,6.38,8.86,,,,,,,,,,,,,,,,,,,,,,
NGC 6535,,18:03:50.51,-00:17:51.5,27.18,10.44,6.8,3.9,6,3.1,1.2,NGC6535,NGC 6535,-215.1,0.5,-200.4,2.4,0.5,1.33,0.36,0.85,21.26,2.34,7.28,8.2,,,,,,,,,,,,,,,GC,NGC6535,NONE,0.20,2.86,0.070,10.5,-1.51
NGC 6528,,18:04:49.64,-30:03:22.6,1.14,-4.17,7.9,0.6,7.9,0.2,-0.6,NGC6528,NGC 6528,206.6,1.4,214.9,,,1.5,0.13,0.38,16.73,4.77,7.28,8.06,,,,,,,,,,,,,,,,,,,,,,
NGC 6539,,18:04:49.68,-07:35:09.1,20.8,6.78,7.8,3,7.2,2.8,0.9,NGC6539,NGC 6539,31,1.7,44.4,,,1.74,0.38,1.7,18.58,4.15,8.31,9.32,,,,,,,,,,,,,,,,,,,,,,
NGC 6540,Djorg 3,18:06:08.6,-27:45:55,3.29,-3.31,5.3,2.8,5.2,0.3,-0.3,NGC6540,NGC 6540,-17.7,1.4,-8.8,,,2.5,0.03,,16.4,5.85,5.4,0,,,,,,,,,,,,,,,,,,,,,,
NGC 6544,,18:07:20.58,-24:59:50.4,5.84,-2.2,3,5.1,2.9,0.3,-0.1,NGC6544,NGC 6544,-27.3,3.9,-17.7,,,1.63,0.05,1.21,16.31,6.06,5.35,8.24,,,,,,,,,,,,,,,,,,,,,,
NGC 6541,,18:08:02.36,-43:42:53.6,349.29,-11.19,7.5,2.1,7.3,-1.4,-1.5,NGC6541,NGC 6541,-158.7,2.3,-154.2,8.2,2.1,1.86,0.18,1.06,15.44,4.65,7.55,9.03,,,,,,,,,,,,,,,GC,NGC6541,NONE,5.72,3.93,1.45,12.9,-1.53
2MS-GC01,2MASS-GC01,18:08:21.81,-19:49:47,10.48,0.11,3.6,4.5,3.5,0.7,0,2MS-GC01,2MS-GC01,,,,,,0.85,0.85,1.65,,,,8.43,,,,,,,,,,,,,,,,,,,,,,
ESO-SC06,ESO280-SC06,18:09:06.0,-46:25:23,346.9,-12.57,21.4,14,20.4,-4.7,-4.7,ESO-SC06,ESO-SC06,,,,,,0.9,0.6,1.05,,,,9.1,,,,,,,,,,,,,,,,,,,,,,
NGC 6553,,18:09:17.60,-25:54:31.3,5.26,-3.03,6,2.2,5.9,0.5,-0.3,NGC6553,NGC 6553,-3.2,1.5,6.1,,,1.16,0.53,1.03,18.17,3.84,8.24,8.72,,,,,,,,,,,,,,,,,,,,,,
2MS-GC02,2MASS-GC02,18:09:36.50,-20:46:44,9.79,-0.61,4.9,3.2,4.9,0.8,-0.1,2MS-GC02,2MS-GC02,-238,36,-227.4,,,0.95,0.55,0.55,,,,7.72,,,,,,,,,,,,,,,,,,,,,,
NGC 6558,,18:10:17.60,-31:45:50.0,0.2,-6.02,7.4,1,7.3,0,-0.8,NGC6558,NGC 6558,-197.2,1.5,-189.4,3.1,0.9,2.5,0.03,2.15,16.48,5.35,5.71,9.12,,,,,,,,,,,,,,,,,,,,,,
IC 1276,Pal 7,18:10:44.20,-07:12:27.4,21.83,5.67,5.4,3.7,5,2,0.5,IC1276,IC 1276,155.7,1.3,169.2,,,1.33,1.01,2.38,21.6,2.78,8.46,9.03,,,,,,,,,,,,,,,,,,,,,,
Terzan 12,,18:12:15.8,-22:44:31,8.37,-2.1,4.8,3.4,4.7,0.7,-0.2,TERZAN12,Terzan 12,94.1,1.5,104.2,,,0.57,0.83,0.75,23.75,3.4,8.46,7.78,,,,,,,,,,,,,,,,,,,,,,
NGC 6569,,18:13:38.80,-31:49:36.8,0.48,-6.68,10.9,3.1,10.8,0.1,-1.3,NGC6569,NGC 6569,-28.1,5.6,-20.3,,,1.31,0.35,0.8,18.15,3.63,8.38,9.05,,,,,,,,,,,,,,,,,,,,,,
BH 261,AL 3,18:14:06.6,-28:38:06,3.36,-5.27,6.5,1.7,6.5,0.4,-0.6,BH261,BH 261,,,,,,1,0.4,0.55,,,,7.8,,,,,,,,,,,,,,,,,,,,,,
GLIMPSE02,,18:18:30.5,-16:58:38,14.14,-0.64,5.5,3,5.4,1.4,-0.1,GLIMPSE02,GLIMPSE02,,,,,,1.33,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 6584,,18:18:37.60,-52:12:56.8,342.14,-16.41,13.5,7,12.3,-4,-3.8,NGC6584,NGC 6584,222.9,15,224.9,,,1.47,0.26,0.73,17.63,3.33,8.13,9.02,,,,,,,,,,,,,,,GC,NGC6584,NONE,3.03,4.87,0.62,11.3,-1.30
NGC 6624,,18:23:40.51,-30:21:39.7,2.79,-7.91,7.9,1.2,7.8,0.4,-1.1,NGC6624,NGC 6624,53.9,0.6,62.1,5.4,0.5,2.5,0.06,0.82,15.32,5.3,6.61,8.71,,,,,,,,,,,,,,,GC,NGC6624,NONE,2.57,3.20,0.80,12.5,-0.70
NGC 6626,M 28,18:24:32.81,-24:52:11.2,7.8,-5.58,5.5,2.7,5.4,0.7,-0.5,NGC6626,NGC 6626,17,1,26.6,8.6,1.3,1.67,0.24,1.97,15.77,4.86,7.62,9.17,,,,,,,,,,,,,,,,,,,,,,
NGC 6638,,18:30:56.10,-25:29:50.9,7.9,-7.15,9.4,2.2,9.3,1.3,-1.2,NGC6638,NGC 6638,18.1,3.9,27.5,,,1.33,0.22,0.51,17.3,4.09,7.83,8.46,,,,,,,,,,,,,,,,,,,,,,
NGC 6637,M 69,18:31:23.10,-32:20:53.1,1.72,-10.27,8.8,1.7,8.6,0.3,-1.6,NGC6637,NGC 6637,39.9,2.8,47.5,,,1.38,0.33,0.84,16.82,3.84,8.15,8.82,,,,,,,,,,,,,,,GC,NGC6637,M69,2.00,3.66,0.55,13.1,-0.78
NGC 6642,,18:31:54.10,-23:28:30.7,9.81,-6.44,8.1,1.7,8,1.4,-0.9,NGC6642,NGC 6642,-57.2,5.4,-47.3,,,1.99,0.1,0.73,16.82,4.64,6.95,8.52,,,,,,,,,,,,,,,,,,,,,,
NGC 6652,,18:35:45.63,-32:59:26.6,1.53,-11.38,10,2.7,9.8,0.3,-2,NGC6652,NGC 6652,-111.7,5.8,-104.3,,,1.8,0.1,0.48,16.1,4.48,7.05,8.39,,,,,,,,,,,,,,,GC,NGC6652,NONE,1.09,2.37,0.46,12.0,-0.97
NGC 6656,M 22,18:36:23.94,-23:54:17.1,9.89,-7.55,3.2,4.9,3.2,0.6,-0.4,NGC6656,NGC 6656,-146.3,0.2,-136.6,7.8,0.3,1.38,1.33,3.36,17.42,3.63,8.53,9.23,,,,,,,,,,,,,,,GC,NGC6656,M22,6.44,5.32,1.21,12.7,-1.49
Pal 8,,18:41:29.9,-19:49:33,14.11,-6.79,12.8,5.5,12.3,3.1,-1.5,PAL8,Pal 8,-43,15,-32.3,,,1.53,0.56,0.58,20,2.34,8.65,8.47,,,,,,,,,,,,,,,,,,,,,,
NGC 6681,M 70,18:43:12.76,-32:17:31.6,2.85,-12.51,9,2.2,8.8,0.4,-2,NGC6681,NGC 6681,220.3,0.9,227.8,5.2,0.5,2.5,0.03,0.71,14.25,5.82,5.82,8.65,,,,,,,,,,,,,,,GC,NGC6681,M70,1.79,3.16,0.57,12.8,-1.35
GLIMPSE01,,18:48:49.7,-01:29:50,31.31,-0.1,4.2,4.9,3.6,2.2,0,GLIMPSE01,GLIMPSE01,,,,,,1.37,0.59,0.65,,,,7.89,,,,,,,,,,,,,,,,,,,,,,
NGC 6712,,18:53:04.30,-08:42:22.0,25.35,-4.32,6.9,3.5,6.3,3,-0.5,NGC6712,NGC 6712,-107.6,0.5,-94.7,4.3,0.4,1.05,0.76,1.33,18.74,3.18,8.6,8.95,,,,,,,,,,,,,,,,,,,,,,
NGC 6715,M 54,18:55:03.33,-30:28:47.5,5.61,-14.09,26.5,18.9,25.6,2.5,-6.5,NGC6715,NGC 6715,141.3,0.3,149.2,10.5,0.3,2.04,0.09,0.82,14.78,4.69,8.24,9.93,,,,,,,,,,,,,,,GC,NGC6715,M54,12.9,10.7,1.20,10.8,-1.25
NGC 6717,Pal 9,18:55:06.04,-22:42:05.3,12.88,-10.9,7.1,2.4,6.8,1.6,-1.3,NGC6717,NGC 6717,22.8,3.4,32.7,,,2.07,0.08,0.68,16.77,4.58,6.52,8.22,,,,,,,,,,,,,,,GC,NGC6717,NONE,0.48,2.39,0.20,13.2,-1.09
NGC 6723,,18:59:33.15,-36:37:56.1,0.07,-17.3,8.7,2.6,8.3,0,-2.6,NGC6723,NGC 6723,-94.5,3.6,-88.3,,,1.11,0.83,1.53,18.13,2.79,8.79,9.24,,,,,,,,,,,,,,,GC,NGC6723,NONE,3.57,6.58,0.54,13.1,-0.96
NGC 6749,,19:05:15.3,+01:54:03,36.2,-2.21,7.9,5,6.4,4.7,-0.3,NGC6749,NGC 6749,-61.7,2.9,-47.2,,,0.79,0.62,1.1,21.88,3.3,8.59,8.78,,,,,,,,,,,,,,,,,,,,,,
NGC 6752,,19:10:52.11,-59:59:04.4,336.49,-25.63,4,5.2,3.3,-1.4,-1.7,NGC6752,NGC 6752,-26.7,0.2,-27.3,4.9,0.4,2.5,0.17,1.91,14.88,5.04,6.88,8.87,,,,,,,,,,,,,,,GC,NGC6752,NONE,2.82,3.8,0.75,13.8,-1.55
NGC 6760,,19:11:12.01,+01:01:49.7,36.11,-3.92,7.4,4.8,5.9,4.3,-0.5,NGC6760,NGC 6760,-27.5,6.3,-13.2,,,1.65,0.34,1.27,18.66,3.89,7.96,9.01,,,,,,,,,,,,,,,,,,,,,,
NGC 6779,M 56,19:16:35.57,+30:11:00.5,62.66,8.34,9.4,9.2,4.3,8.3,1.4,NGC6779,NGC 6779,-135.6,0.9,-119.1,4,0.6,1.38,0.44,1.1,18.08,3.28,8.33,9.01,,,,,,,,,,,,,,,GC,NGC6779,M56,2.30,5.11,0.45,13.7,-2.00
Terzan 7,,19:17:43.92,-34:39:27.8,3.39,-20.07,22.8,15.6,21.4,1.3,-7.8,TERZAN7,Terzan 7,166,4,172.5,,,0.93,0.49,0.77,20.66,1.63,8.89,8.96,,,,,,,,,,,,,,,GC,Terzan7,NONE,0.39,8.7,0.04,7.4,-0.12
Pal 10,,19:18:02.1,+18:34:18,52.43,2.72,5.9,6.4,3.6,4.7,0.3,PAL10,Pal 10,-31.7,0.4,-15.6,,,0.58,0.81,0.99,22.03,3.51,8.69,8.37,,,,,,,,,,,,,,,,,,,,,,
Arp 2,,19:28:44.11,-30:21:20.3,8.55,-20.79,28.6,21.4,26.4,4,-10.2,ARP2,Arp 2,115,10,122.4,,,0.88,1.19,1.77,24.26,-0.25,9.39,9.7,,,,,,,,,,,,,,,,,,,,,,
NGC 6809,M 55,19:39:59.71,-30:57:53.1,8.79,-23.27,5.4,3.9,4.9,0.8,-2.1,NGC6809,NGC 6809,174.7,0.3,181.8,4,0.3,0.93,1.8,2.83,19.36,2.22,8.9,9.29,,,,,,,,,,,,,,,GC,NGC6809,M55,0.55,7.6,0.07,13.8,-1.93
Terzan 8,,19:41:44.41,-33:59:58.1,5.76,-24.56,26.3,19.4,23.8,2.4,-10.9,TERZAN8,Terzan 8,130,8,136.2,,,0.6,1,0.95,22.82,0.53,9.46,9.21,,,,,,,,,,,,,,,,,,,,,,
Pal 11,,19:45:14.4,-08:00:26,31.81,-15.57,13.4,8.2,11,6.8,-3.6,PAL11,Pal 11,-68,10,-56,,,0.57,1.19,1.46,19.72,2.29,9.61,9.34,,,,,,,,,,,,,,,,,,,,,,
NGC 6838,M 71,19:53:46.49,+18:46:45.1,56.75,-4.56,4,6.7,2.2,3.4,-0.3,NGC6838,NGC 6838,-22.8,0.2,-7.5,2.3,0.2,1.15,0.63,1.67,19.75,2.83,7.54,8.43,,,,,,,,,,,,,,,GC,NGC6838,M71,0.20,3.3,0.06,12.7,-0.82
NGC 6864,M 75,20:06:04.69,-21:55:16.2,20.3,-25.75,20.9,14.7,17.6,6.5,-9.1,NGC6864,NGC 6864,-189.3,3.6,-180.8,10.3,1.5,1.8,0.09,0.46,15.52,4.51,7.89,9.15,,,,,,,,,,,,,,,,,,,,,,
NGC 6934,,20:34:11.37,+07:24:16.1,52.1,-18.89,15.6,12.8,9.1,11.7,-5.1,NGC6934,NGC 6934,-411.4,1.6,-398.5,5.1,1.1,1.53,0.22,0.69,17.35,3.44,8.2,9.04,,,,,,,,,,,,,,,GC,NGC6934,NONE,2.95,5.32,0.55,11.1,-1.32
NGC 6981,M 72,20:53:27.70,-12:32:14.3,35.16,-32.68,17,12.9,11.7,8.3,-9.2,NGC6981,NGC 6981,-345,3.7,-336.2,,,1.21,0.46,0.93,19.02,2.38,8.72,9.23,,,,,,,,,,,,,,,GC,NGC6981,M72,1.68,7.82,0.21,10.9,-1.21
NGC 7006,,21:01:29.38,+16:11:14.4,63.77,-19.41,41.2,38.5,17.2,34.8,-13.7,NGC7006,NGC 7006,-384.1,0.4,-371.3,,,1.41,0.17,0.44,18.62,2.58,8.66,9.42,,,,,,,,,,,,,,,,,,,,,,
NGC 7078,M 15,21:29:58.33,+12:10:01.2,65.01,-27.31,10.4,10.4,3.9,8.3,-4.8,NGC7078,NGC 7078,-107,0.2,-96,13.5,0.9,2.29,0.14,1,14.21,5.05,7.84,9.32,,,,,,,,,,,,,,,GC,NGC7078,M15,5.13,5.1,1.00,13.6,-2.33
NGC 7089,M 2,21:33:27.02,-00:49:23.7,53.37,-35.77,11.5,10.4,5.6,7.5,-6.7,NGC7089,NGC 7089,-5.3,2,3.8,8.2,0.6,1.59,0.32,1.06,15.78,4,8.48,9.4,,,,,,,,,,,,,,,GC,NGC7089,M2,5.75,6.03,0.95,11.8,-1.31
NGC 7099,M 30,21:40:22.12,-23:10:47.5,27.18,-46.84,8.1,7.1,4.9,2.5,-5.9,NGC7099,NGC 7099,-184.2,0.2,-179.6,5.5,0.4,2.5,0.06,1.03,15.35,5.01,6.37,8.88,,,,,,,,,,,,,,,GC,NGC7099,M30,1.45,4.1,0.35,14.6,-2.33
Pal 12,,21:46:38.84,-21:15:09.4,30.51,-47.68,19,15.8,11,6.5,-14.1,PAL12,Pal 12,27.8,1.5,32.5,,,2.98,0.02,1.72,19.21,3.64,5.22,9.28,,,,,,,,,,,,,,,,,,,,,,
Pal 13,,23:06:44.44,+12:46:19.2,87.1,-42.7,26,26.9,1,19.1,-17.6,PAL13,Pal 13,25.2,0.3,30.9,0.9,0.3,0.66,0.48,0.36,24.31,0.16,8.36,8.35,,,,,,,,,,,,,,,,,,,,,,
NGC 7492,,23:08:26.63,-15:36:41.4,53.39,-63.48,26.3,25.3,7,9.4,-23.5,NGC7492,NGC 7492,-177.5,0.6,-176.2,1.2,1,0.72,0.86,1.15,20.68,1.27,9.6,9.44,,,,,,,,,,,,,,,,,,,,,,
