ID_H1,_FeH,_Age,_vLSR,_Ldeg,_Bdeg,R_gc,_R_G,sig_v,amr_x,amr_y,amr_bin_center,amr_med_age,amr_dAge,flag_young,kin_vfit,kin_resid,kin_sigma,kin_z,flag_kin_lenient,flag_kin_strict,flag_accreted_lenient,flag_accreted_strict
IC 1257,,,-127.0,16.54,15.15,17.9,17.9,,,,,,,False,-35.02808009770431,-91.9719199022957,125.29403128250387,-0.7340486929894059,False,False,False,False
Terzan 2,,,116.9,356.32,2.3,0.8,0.8,,,,,,,False,7.984973073674254,108.91502692632575,125.29403128250387,0.8692754619791271,False,False,False,False
NGC 6366,-0.73,13.3,-108.6,18.41,16.04,5.0,5.0,1.3,-0.73,13.3,-0.73,12.7,0.6000000000000014,False,-38.90102004529305,-69.69897995470694,125.29403128250387,-0.5562833220487156,False,False,False,False
Terzan 4,,,-42.3,356.02,1.31,1.0,1.0,,,,,,,False,8.62389570103395,-50.92389570103395,125.29403128250387,-0.4064351284716385,False,False,False,False
HP 1,,,54.0,357.44,2.12,0.5,0.5,,,,,,,False,5.596557698055488,48.40344230194451,125.29403128250387,0.38631881987105954,False,False,False,False
NGC 6362,-0.99,13.6,-15.6,325.55,-17.57,5.1,5.1,2.8,-0.99,13.6,-0.9299999999999999,13.1,0.5,False,68.54443105191484,-84.14443105191484,125.29403128250387,-0.6715757342198695,False,False,False,False
Liller 1,,,59.2,354.84,-0.16,0.8,0.8,,,,,,,False,11.133091710533703,48.0669082894663,125.29403128250387,0.38363286580737854,False,False,False,False
NGC 6380,,,2.1,350.18,-3.42,3.3,3.3,,,,,,,False,20.96353048087068,-18.86353048087068,125.29403128250387,-0.15055410291922497,False,False,False,False
Terzan 1,,,122.0,357.57,1.0,1.3,1.3,,,,,,,False,5.319041004338963,116.68095899566103,125.29403128250387,0.9312571221575375,False,False,False,False
Ton 2,,,-178.6,350.8,-3.42,1.4,1.4,,,,,,,False,19.664269337688253,-198.26426933768823,125.29403128250387,-1.5823919727720819,True,False,False,False
NGC 6388,-0.45,11.7,84.2,345.56,-6.74,3.1,3.1,18.9,-0.45,11.7,-0.53,11.45,0.25,False,30.537626038523726,53.66237396147628,125.29403128250387,0.4282915427988925,False,False,False,False
NGC 6402,,,-52.1,21.32,14.81,4.0,4.0,,,,,,,False,-44.855444563955665,-7.244555436044337,125.29403128250387,-0.05782043535425754,False,False,False,False
NGC 6401,,,-55.3,3.45,3.98,2.7,2.7,,,,,,,False,-7.2689528281684295,-48.03104717183157,125.29403128250387,-0.3833466501172323,False,False,False,False
NGC 6397,-1.99,13.4,20.3,338.17,-11.96,6.0,6.0,4.5,-1.99,13.4,-1.93,13.1,0.3000000000000007,False,45.341024002221936,-25.041024002221935,125.29403128250387,-0.1998580758069892,False,False,False,False
Pal 6,,,190.2,2.1,1.78,2.2,2.2,,,,,,,False,-4.375771461193122,194.5757714611931,125.29403128250387,1.552953237033916,True,False,False,False
NGC 6426,,,-146.9,28.09,16.23,14.4,14.4,,,,,,,False,-58.28878935501589,-88.61121064498411,125.29403128250387,-0.7072261123531894,False,False,False,False
Djorg 1,,,-355.0,356.69,-2.47,5.7,5.7,,,,,,,False,7.196464514333664,-362.1964645143337,125.29403128250387,-2.890771897167866,True,True,False,False
Terzan 5,,,-83.5,3.84,1.69,1.2,1.2,,,,,,,False,-8.10463981225445,-75.39536018774555,125.29403128250387,-0.6017474209745042,False,False,False,False
NGC 6440,,,-65.9,7.73,3.8,1.3,1.3,,,,,,,False,-16.426920699106056,-49.47307930089395,125.29403128250387,-0.3948558346673805,False,False,False,False
NGC 6441,-0.44,11.2,22.9,353.53,-5.01,3.9,3.9,18.0,-0.44,11.2,-0.53,11.45,-0.25,False,13.910458920556886,8.989541079443113,125.29403128250387,0.07174756041789532,False,False,False,False
Terzan 6,,,133.9,358.57,-2.16,1.3,1.3,,,,,,,False,3.182556761685534,130.71744323831447,125.29403128250387,1.0432854773710831,False,False,False,False
NGC 6453,,,-76.7,355.72,-3.87,3.7,3.7,,,,,,,False,9.262433505427824,-85.96243350542782,125.29403128250387,-0.6860856229584151,False,False,False,False
UKS 1,,,66.7,5.13,0.76,0.7,0.7,,,,,,,False,-10.867734547882835,77.56773454788284,125.29403128250387,0.6190856320441055,False,False,False,False
NGC 6496,-0.7,12.4,-108.4,348.03,-10.01,4.2,4.2,,-0.7,12.4,-0.73,12.7,-0.29999999999999893,False,25.444141544556928,-133.84414154455692,125.29403128250387,-1.068240363683206,False,False,False,False
Terzan 9,,,68.1,3.61,-1.99,1.1,1.1,,,,,,,False,-7.611811375986783,75.71181137598678,125.29403128250387,0.6042730894760445,False,False,False,False
Djorg 2,,,,2.77,-2.5,1.8,1.8,,,,,,,False,,,,,False,False,False,False
NGC 6517,,,-26.5,19.23,6.76,4.2,4.2,,,,,,,False,-40.58830697032852,14.088306970328517,125.29403128250387,0.11244196412328077,False,False,False,False
Terzan 10,,,,4.49,-1.99,2.3,2.3,,,,,,,False,,,,,False,False,False,False
NGC 6522,,,-12.9,1.02,-3.93,0.6,0.6,6.7,,,,,,False,-2.061563776234045,-10.838436223765955,125.29403128250387,-0.08650401070844498,False,False,False,False
NGC 6535,-1.51,10.5,-200.4,27.18,10.44,3.9,3.9,2.4,-1.51,10.5,-1.5299999999999998,12.5,-2.0,True,-56.52199500246542,-143.8780049975346,125.29403128250387,-1.1483228971468635,False,False,False,False
NGC 6528,,,214.9,1.14,-4.17,0.6,0.6,,,,,,,False,-2.318654200468868,217.21865420046888,125.29403128250387,1.7336712050608385,True,False,False,False
NGC 6539,,,44.4,20.8,6.78,3.0,3.0,,,,,,,False,-43.798448628564444,88.19844862856445,125.29403128250387,0.703931765350426,False,False,False,False
NGC 6540,,,-8.8,3.29,-3.31,2.8,2.8,,,,,,,False,-6.926079805658343,-1.8739201943416575,125.29403128250387,-0.014956180874382424,False,False,False,False
NGC 6544,,,-17.7,5.84,-2.2,5.1,5.1,,,,,,,False,-12.387417393735443,-5.312582606264556,125.29403128250387,-0.04240092326733531,False,False,False,False
NGC 6541,-1.53,12.9,-154.2,349.29,-11.19,2.1,2.1,8.2,-1.53,12.9,-1.5299999999999998,12.5,0.40000000000000036,False,22.82316151418901,-177.02316151418898,125.29403128250387,-1.4128618873715544,False,False,False,False
2MS-GC01,,,,10.48,0.11,4.5,4.5,,,,,,,False,,,,,False,False,False,False
ESO-SC06,,,,346.9,-12.57,14.0,14.0,,,,,,,False,,,,,False,False,False,False
NGC 6553,,,6.1,5.26,-3.03,2.2,2.2,,,,,,,False,-11.146055865087408,17.246055865087406,125.29403128250387,0.13764467220471385,False,False,False,False
2MS-GC02,,,-227.4,9.79,-0.61,3.2,3.2,,,,,,,False,-20.81596684102152,-206.58403315897849,125.29403128250387,-1.64879388941671,True,False,False,False
NGC 6558,,,-189.4,0.2,-6.02,1.0,1.0,3.1,,,,,,False,-0.30523132335946634,-189.09476867664054,125.29403128250387,-1.5092081142339766,True,False,False,False
IC 1276,,,169.2,21.83,5.67,3.7,3.7,,,,,,,False,-45.88895849870898,215.08895849870896,125.29403128250387,1.7166736220158965,True,False,False,False
Terzan 12,,,104.2,8.37,-2.1,3.4,3.4,,,,,,,False,-17.792298065727067,121.99229806572707,125.29403128250387,0.973648120481236,False,False,False,False
NGC 6569,,,-20.3,0.48,-6.68,3.1,3.1,,,,,,,False,-0.9048550613552688,-19.395144938644734,125.29403128250387,-0.15479703813595055,False,False,False,False
BH 261,,,,3.36,-5.27,1.7,1.7,,,,,,,False,,,,,False,False,False,False
GLIMPSE02,,,,14.14,-0.64,3.0,3.0,,,,,,,False,,,,,False,False,False,False
NGC 6584,-1.3,11.3,224.9,342.14,-16.41,7.0,7.0,,-1.3,11.3,-1.33,11.6,-0.29999999999999893,False,37.47788014949774,187.42211985050227,125.29403128250387,1.495858325668495,False,False,False,False
NGC 6624,-0.7,12.5,62.1,2.79,-7.91,1.2,1.2,5.4,-0.7,12.5,-0.73,12.7,-0.1999999999999993,False,-5.854537757355765,67.95453775735577,125.29403128250387,0.5423605343508887,False,False,False,False
NGC 6626,,,26.6,7.8,-5.58,2.7,2.7,8.6,,,,,,False,-16.576328851892896,43.1763288518929,125.29403128250387,0.34460004526905236,False,False,False,False
NGC 6638,,,27.5,7.9,-7.15,2.2,2.2,,,,,,,False,-16.789740109745225,44.289740109745225,125.29403128250387,0.3534864323256065,False,False,False,False
NGC 6637,-0.78,13.1,47.5,1.72,-10.27,1.7,1.7,,-0.78,13.1,-0.73,12.7,0.40000000000000036,False,-3.561428935380537,51.06142893538053,125.29403128250387,0.40753281231929506,False,False,False,False
NGC 6642,,,-47.3,9.81,-6.44,1.7,1.7,,,,,,,False,-20.858490515040856,-26.44150948495914,125.29403128250387,-0.21103566717668099,False,False,False,False
NGC 6652,-0.97,12.0,-104.3,1.53,-11.38,2.7,2.7,,-0.97,12.0,-0.9299999999999999,13.1,-1.0999999999999996,False,-3.1542859720687133,-101.14571402793129,125.29403128250387,-0.8072668186393914,False,False,False,False
NGC 6656,-1.49,12.7,-136.6,9.89,-7.55,4.9,4.9,7.8,-1.49,12.7,-1.5299999999999998,12.5,0.1999999999999993,False,-21.028566339196345,-115.57143366080365,125.29403128250387,-0.9224017495312413,False,False,False,False
Pal 8,,,-32.3,14.11,-6.79,5.5,5.5,,,,,,,False,-29.948820916992837,-2.3511790830071604,125.29403128250387,-0.018765292001068214,False,False,False,False
NGC 6681,-1.35,12.8,227.8,2.85,-12.51,2.2,2.2,5.2,-1.35,12.8,-1.33,11.6,1.200000000000001,False,-5.983126187954642,233.78312618795465,125.29403128250387,1.8658760021922949,True,False,False,False
GLIMPSE01,,,,31.31,-0.1,4.9,4.9,,,,,,,False,,,,,False,False,False,False
NGC 6712,,,-94.7,25.35,-4.32,3.5,3.5,4.3,,,,,,False,-52.93041740603854,-41.76958259396146,125.29403128250387,-0.33337248523660673,False,False,False,False
NGC 6715,-1.25,10.8,149.2,5.61,-14.09,18.9,18.9,10.5,-1.25,10.8,-1.33,11.6,-0.7999999999999989,False,-11.895231769663006,161.095231769663,125.29403128250387,1.2857374778407216,False,False,False,False
NGC 6717,-1.09,13.2,32.7,12.88,-10.9,2.4,2.4,,-1.09,13.2,-1.13,11.05,2.1499999999999986,False,-27.36044043697239,60.06044043697239,125.29403128250387,0.47935595831817784,False,False,False,False
NGC 6723,-0.96,13.1,-88.3,0.07,-17.3,2.6,2.6,,-0.96,13.1,-0.9299999999999999,13.1,0.0,False,-0.026875182118376806,-88.27312481788162,125.29403128250387,-0.7045277729060357,False,False,False,False
NGC 6749,,,-47.2,36.2,-2.21,5.0,5.0,,,,,,,False,-73.39470103709915,26.19470103709915,125.29403128250387,0.20906583313643445,False,False,False,False
NGC 6752,-1.55,13.8,-27.3,336.49,-25.63,5.2,5.2,4.9,-1.55,13.8,-1.5299999999999998,12.5,1.3000000000000007,False,48.59730018013873,-75.89730018013873,125.29403128250387,-0.6057535175718867,False,False,False,False
NGC 6760,,,-13.2,36.11,-3.92,4.8,4.8,,,,,,,False,-73.23398984343888,60.033989843438874,125.29403128250387,0.47914485014915514,False,False,False,False
NGC 6779,-2.0,13.7,-119.1,62.66,8.34,9.2,9.2,4.0,-2.0,13.7,-1.93,13.1,0.5999999999999996,False,-111.8369516295328,-7.263048370467189,125.29403128250387,-0.0579680316462242,False,False,False,False
Terzan 7,-0.12,7.4,172.5,3.39,-20.07,15.6,15.6,,-0.12,7.4,-0.13,7.4,0.0,False,-7.140376997370419,179.64037699737042,125.29403128250387,1.433750476048858,False,False,False,False
Pal 10,,,-15.6,52.43,2.72,6.4,6.4,,,,,,,False,-99.26609528532423,83.66609528532423,125.29403128250387,0.6677580282869182,False,False,False,False
Arp 2,,,122.4,8.55,-20.79,21.4,21.4,,,,,,,False,-18.176039501580288,140.57603950158028,125.29403128250387,1.1219691637554519,False,False,False,False
NGC 6809,-1.93,13.8,181.8,8.79,-23.27,3.9,3.9,4.0,-1.93,13.8,-1.93,13.1,0.7000000000000011,False,-18.687498144623106,200.48749814462312,125.29403128250387,1.60013606468275,True,False,False,False
Terzan 8,,,136.2,5.76,-24.56,19.4,19.4,,,,,,,False,-12.21623473747266,148.41623473747265,125.29403128250387,1.184543535061415,False,False,False,False
Pal 11,,,-56.0,31.81,-15.57,8.2,8.2,,,,,,,False,-65.36786745021574,9.36786745021574,125.29403128250387,0.07476706874482915,False,False,False,False
NGC 6838,-0.82,12.7,-7.5,56.75,-4.56,6.7,6.7,2.3,-0.82,12.7,-0.73,12.7,0.0,False,-104.96403486349763,97.46403486349763,125.29403128250387,0.7778825045842991,False,False,False,False
NGC 6864,,,-180.8,20.3,-25.75,14.7,14.7,10.3,,,,,,False,-42.779123649113835,-138.02087635088617,125.29403128250387,-1.101575828777404,False,False,False,False
NGC 6934,-1.32,11.1,-398.5,52.1,-18.89,12.8,12.8,5.1,-1.32,11.1,-1.33,11.6,-0.5,False,-98.80848102519849,-299.6915189748015,125.29403128250387,-2.39190579078008,True,True,False,False
NGC 6981,-1.21,10.9,-336.2,35.16,-32.68,12.9,12.9,,-1.21,10.9,-1.13,11.05,-0.15000000000000036,False,-71.52746539205668,-264.6725346079433,125.29403128250387,-2.1124113567004557,True,True,False,False
NGC 7006,,,-371.3,63.77,-19.41,38.5,38.5,,,,,,,False,-113.00362161213235,-258.29637838786766,125.29403128250387,-2.0615218118848757,True,True,False,False
NGC 7078,-2.33,13.6,-96.0,65.01,-27.31,10.4,10.4,13.5,-2.33,13.6,-2.3305,13.6,0.0,False,-114.25915866732055,18.25915866732055,125.29403128250387,0.14573047479134202,False,False,False,False
NGC 7089,-1.31,11.8,3.8,53.37,-35.77,10.4,10.4,8.2,-1.31,11.8,-1.33,11.6,0.20000000000000107,False,-100.55248679059116,104.35248679059116,125.29403128250387,0.8328607972977161,False,False,False,False
NGC 7099,-2.33,14.6,-179.6,27.18,-46.84,7.1,7.1,5.5,-2.33,14.6,-2.3305,13.6,1.0,False,-56.52199500246542,-123.07800499753458,125.29403128250387,-0.9823133930460521,False,False,False,False
Pal 12,,,32.5,30.51,-47.68,15.8,15.8,,,,,,,False,-62.92121020996391,95.4212102099639,125.29403128250387,0.761578259021893,False,False,False,False
Pal 13,,,30.9,87.1,-42.7,26.9,26.9,0.9,,,,,,False,-127.64473642886233,158.54473642886234,125.29403128250387,1.265381397709099,False,False,False,False
NGC 7492,,,-176.2,53.39,-63.48,25.3,25.3,1.2,,,,,,False,-100.57957982422381,-75.62042017577618,125.29403128250387,-0.6035436756382493,False,False,False,False
